,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/198vrF8k7mfQ4FjDJsBmdQcaiyq.jpg,"[878, 28, 12]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",4650.217,/94xxm5701CzOdJdUEdIuwqZaowx.jpg,2022-12-14,Avatar: The Way of Water,False,8.1,793
1,False,/ypFD4TJ3nLJesou76V59CnweaT0.jpg,"[36, 18, 53, 28]",715931,en,Emancipation,"Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.",940.343,/s9sUK1vAaOcxJfKzNTszrNkPhkH.jpg,2022-12-02,Emancipation,False,8.2,394
2,False,/u9Io1hVnxb2b3T0z99aOK8sq0SN.jpg,"[9648, 12, 35, 80]",829280,en,Enola Holmes 2,"Now a detective-for-hire like her infamous brother, Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends — and Sherlock himself — to unravel.",371.812,/tegBpjM5ODoYoM1NjaiHVLEA0QM.jpg,2022-11-30,Enola Holmes 2,False,7.7,350
3,False,/jJhuJChqqZcR20EUrG5LUPZCi5w.jpg,"[35, 878, 12]",774752,en,The Guardians of the Galaxy Holiday Special,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",608.567,/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,2022-11-25,The Guardians of the Galaxy Holiday Special,False,7.4,812
4,False,/kP5k4gA6yJiQCeN5FNcGwRtGDuq.jpg,"[10749, 35, 18]",736918,en,The Noel Diary,"Cleaning out his childhood home at Christmas, a novelist meets a woman searching for her birth mother. Will an old diary unlock their pasts — and hearts?",79.128,/f6mMqxJfAD2Ao4sto7kOq6a7tWg.jpg,2022-11-24,The Noel Diary,False,6.5,209
5,False,/AbZjwTlDEDbc6UxXAzYIITbSwGS.jpg,"[10749, 18, 27]",791177,en,Bones and All,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",472.623,/dBQuk2LkHjrDsSjueirPQg96GCc.jpg,2022-11-18,Bones and All,False,7.5,346
6,False,/GFq9kYUnpRCnlbIbjPzNA96e0j.jpg,"[35, 27, 53]",593643,en,The Menu,"A couple travels to a coastal island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",178.091,/v31MsWhF9WFh7Qooq6xSBbmJxoG.jpg,2022-11-17,The Menu,False,7.2,499
7,False,/kpUre8wWSXn3D5RhrMttBZa6w1v.jpg,"[35, 10751, 14]",338958,en,Disenchanted,"Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.",940.433,/4x3pt6hoLblBeHebUa4OyiVXFiM.jpg,2022-11-16,Disenchanted,False,7.1,555
8,False,/kmzppWh7ljL6K9fXW72bPN3gKwu.jpg,"[14, 28, 35, 80]",1013860,en,R.I.P.D. 2: Rise of the Damned,"When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",1411.378,/g4yJTzMtOBUTAR2Qnmj8TYIcFVq.jpg,2022-11-15,R.I.P.D. 2: Rise of the Damned,False,6.7,258
9,False,/2rSwXeyGJH1vmtlgP3EqzdfTEC1.jpg,"[10749, 35, 10751]",833097,en,Falling for Christmas,"An engaged, spoiled hotel heiress finds herself in the care of a handsome, blue-collar lodge owner and his precocious daughter after getting amnesia in a skiing accident.",108.204,/zgtkXLJagDMlW4iXTCojL5guDeu.jpg,2022-11-10,Falling for Christmas,False,6.4,456
