fileName,maxDistence,minDistence,maxRating,minRating,webpullstatus,CategoryAlias,City,Latitude,Longitude,MaxQtyVotes,MinQtyVotes,PotentialMatches
BusinessSearchResults--Paris France--active.json,3.977711073019201E+04,2.9533439540314873E+02,5E+00,2.5E+00,200,active,Paris France,4.88566E+01,2.3522E+00,662,35,1400
BusinessSearchResults--Paris France--fitness.json,1.110669515474411E+04,3.9941246569383924E+02,4.5E+00,1.5E+00,200,fitness,Paris France,4.88566E+01,2.3522E+00,28,6,342
BusinessSearchResults--Paris France--arts.json,1.7920024026145693E+04,3.359939283304556E+02,4.5E+00,3E+00,200,arts,Paris France,4.88566E+01,2.3522E+00,1971,84,2200
BusinessSearchResults--Paris France--movietheaters.json,3.154329993171276E+04,5.487217082126094E+02,4.5E+00,2E+00,200,movietheaters,Paris France,4.88566E+01,2.3522E+00,189,21,250
BusinessSearchResults--Paris France--museums.json,9.27590895456711E+03,3.359939283304556E+02,4.5E+00,3E+00,200,museums,Paris France,4.88566E+01,2.3522E+00,1971,31,244
BusinessSearchResults--Paris France--wineries.json,2.5165452398885016E+04,5.703775949273324E+02,5E+00,1E+00,200,wineries,Paris France,4.88566E+01,2.3522E+00,41,1,31
BusinessSearchResults--Paris France--social_clubs.json,3.1637349881871294E+04,2.233935523430869E+00,5E+00,1E+00,200,social_clubs,Paris France,4.88566E+01,2.3522E+00,10,1,39
BusinessSearchResults--Paris France--auto.json,4.6181694477557474E+04,9.381121979873784E+02,5E+00,1E+00,200,auto,Paris France,4.88566E+01,2.3522E+00,23,3,595
BusinessSearchResults--Paris France--beautysvc.json,7.792474564533827E+03,3.0286727981054673E+02,5E+00,3E+00,200,beautysvc,Paris France,4.88566E+01,2.3522E+00,138,18,2600
BusinessSearchResults--Paris France--hair.json,6.226368249339428E+03,2.9632096277452115E+02,5E+00,2.5E+00,200,hair,Paris France,4.88566E+01,2.3522E+00,48,8,1100
BusinessSearchResults--Paris France--othersalons.json,1.2626622920031978E+04,7.412409480432306E+02,5E+00,1E+00,200,othersalons,Paris France,4.88566E+01,2.3522E+00,76,4,248
BusinessSearchResults--Paris France--tanning.json,3.0838385839180708E+04,4.8738951875631096E+02,5E+00,1E+00,200,tanning,Paris France,4.88566E+01,2.3522E+00,9,1,49
BusinessSearchResults--Paris France--education.json,1.7971395479806804E+04,3.556673371722027E+02,5E+00,2.5E+00,200,education,Paris France,4.88566E+01,2.3522E+00,203,6,800
BusinessSearchResults--Paris France--artclasses.json,7.634724408226569E+03,7.691368879899226E+02,5E+00,3E+00,200,artclasses,Paris France,4.88566E+01,2.3522E+00,4,1,15
BusinessSearchResults--Paris France--specialtyschools.json,2.5069487982420866E+04,3.556673371722027E+02,5E+00,1E+00,200,specialtyschools,Paris France,4.88566E+01,2.3522E+00,203,4,386
BusinessSearchResults--Paris France--eventservices.json,2.2738026672420983E+04,4.729297094399777E+02,5E+00,3E+00,200,eventservices,Paris France,4.88566E+01,2.3522E+00,306,51,3100
BusinessSearchResults--Paris France--photographers.json,7.577800040166254E+03,2.233935523430869E+00,5E+00,3.5E+00,200,photographers,Paris France,4.88566E+01,2.3522E+00,222,3,136
BusinessSearchResults--Paris France--financialservices.json,4.50607715759416E+04,1.780620497789144E+02,5E+00,1E+00,200,financialservices,Paris France,4.88566E+01,2.3522E+00,23,2,264
BusinessSearchResults--Paris France--insurance.json,4.50607715759416E+04,1.780620497789144E+02,5E+00,1E+00,200,insurance,Paris France,4.88566E+01,2.3522E+00,6,1,49
BusinessSearchResults--Paris France--banks.json,3.541285040831464E+04,5.155664408455112E+02,5E+00,1E+00,200,banks,Paris France,4.88566E+01,2.3522E+00,9,1,155
BusinessSearchResults--Paris France--health.json,2.278424094485358E+04,3.3254411515702077E+02,5E+00,1.5E+00,200,health,Paris France,4.88566E+01,2.3522E+00,157,8,2900
BusinessSearchResults--Paris France--c_and_mh.json,3.725281704118445E+04,9.272136964931434E+02,5E+00,1E+00,200,c_and_mh,Paris France,4.88566E+01,2.3522E+00,5,1,91
BusinessSearchResults--Paris France--dentists.json,4.281648379097979E+04,1.501035383847097E+03,5E+00,2E+00,200,dentists,Paris France,4.88566E+01,2.3522E+00,16,2,461
BusinessSearchResults--Paris France--physicians.json,1.319999648575113E+04,9.986760108519455E+02,5E+00,1E+00,200,physicians,Paris France,4.88566E+01,2.3522E+00,21,4,1300
BusinessSearchResults--Paris France--medcenters.json,3.1008432573964426E+04,6.16829527202513E+02,5E+00,1E+00,200,medcenters,Paris France,4.88566E+01,2.3522E+00,7,1,78
BusinessSearchResults--Paris France--homeservices.json,3.371697670495022E+04,4.7050849421609314E+02,5E+00,1E+00,200,homeservices,Paris France,4.88566E+01,2.3522E+00,106,4,979
BusinessSearchResults--Paris France--contractors.json,4.106395098929607E+04,2.233935523430869E+00,5E+00,1E+00,200,contractors,Paris France,4.88566E+01,2.3522E+00,6,1,42
BusinessSearchResults--Paris France--electricians.json,4.442686571612304E+04,5.925518679411673E+02,5E+00,1E+00,200,electricians,Paris France,4.88566E+01,2.3522E+00,7,1,41
BusinessSearchResults--Paris France--painters.json,3.191233342421783E+04,9.074834529670849E+02,5E+00,1E+00,200,painters,Paris France,4.88566E+01,2.3522E+00,3,1,29
BusinessSearchResults--Paris France--plumbing.json,3.81981720878295E+04,9.798553726867559E+01,5E+00,1E+00,200,plumbing,Paris France,4.88566E+01,2.3522E+00,7,1,72
BusinessSearchResults--Paris France--hotelstravel.json,2.334660882697799E+04,2.5411220285516018E+02,5E+00,2E+00,200,hotelstravel,Paris France,4.88566E+01,2.3522E+00,855,66,3200
BusinessSearchResults--Paris France--tours.json,1.6988382219840263E+04,2.5411220285516018E+02,5E+00,1E+00,200,tours,Paris France,4.88566E+01,2.3522E+00,252,10,158
BusinessSearchResults--Paris France--transport.json,2.3086619828298168E+04,2.233935523430869E+00,5E+00,1E+00,200,transport,Paris France,4.88566E+01,2.3522E+00,298,9,378
BusinessSearchResults--Paris France--localflavor.json,4.1737354527850395E+04,2.233935523430869E+00,5E+00,3E+00,200,localflavor,Paris France,4.88566E+01,2.3522E+00,429,1,58
BusinessSearchResults--Paris France--localservices.json,2.9136572160152387E+04,3.556673371722027E+02,5E+00,1E+00,200,localservices,Paris France,4.88566E+01,2.3522E+00,256,5,1200
BusinessSearchResults--Paris France--massmedia.json,1.6718779339452878E+04,9.595110020295467E+02,5E+00,1E+00,200,massmedia,Paris France,4.88566E+01,2.3522E+00,5,2,164
BusinessSearchResults--Paris France--nightlife.json,6.757005020988052E+03,3.1544227717260736E+02,4.5E+00,3E+00,200,nightlife,Paris France,4.88566E+01,2.3522E+00,643,138,3400
BusinessSearchResults--Paris France--bars.json,6.757005020988052E+03,3.1544227717260736E+02,4.5E+00,3E+00,200,bars,Paris France,4.88566E+01,2.3522E+00,643,138,3000
BusinessSearchResults--Paris France--danceclubs.json,1.1026373601571218E+04,4.327353099094147E+02,4.5E+00,1.5E+00,200,danceclubs,Paris France,4.88566E+01,2.3522E+00,496,43,240
BusinessSearchResults--Paris France--pets.json,2.4540398442958325E+04,3.0629440410018304E+02,5E+00,1.5E+00,200,pets,Paris France,4.88566E+01,2.3522E+00,25,4,332
BusinessSearchResults--Paris France--petservices.json,3.1278863899135296E+04,8.838108601428472E+02,5E+00,1E+00,200,petservices,Paris France,4.88566E+01,2.3522E+00,23,1,72
BusinessSearchResults--Paris France--petstore.json,3.327706856040987E+04,3.0629440410018304E+02,5E+00,1E+00,200,petstore,Paris France,4.88566E+01,2.3522E+00,25,1,60
BusinessSearchResults--Paris France--professional.json,4.227759039477219E+04,2.233935523430869E+00,5E+00,1E+00,200,professional,Paris France,4.88566E+01,2.3522E+00,41,2,503
BusinessSearchResults--Paris France--lawyers.json,4.227759039477219E+04,2.233935523430869E+00,5E+00,1E+00,200,lawyers,Paris France,4.88566E+01,2.3522E+00,6,1,148
BusinessSearchResults--Paris France--publicservicesgovt.json,1.7920024026145693E+04,2.0299968066656447E+01,4.5E+00,3E+00,200,publicservicesgovt,Paris France,4.88566E+01,2.3522E+00,2034,29,742
BusinessSearchResults--Paris France--realestate.json,3.8292647115855325E+04,5.950660751728965E+02,5E+00,1E+00,200,realestate,Paris France,4.88566E+01,2.3522E+00,106,2,330
BusinessSearchResults--Paris France--realestateagents.json,3.8292647115855325E+04,2.233935523430869E+00,5E+00,1E+00,200,realestateagents,Paris France,4.88566E+01,2.3522E+00,106,1,143
BusinessSearchResults--Paris France--realestatesvcs.json,1.8906120991754677E+04,2.233935523430869E+00,5E+00,1E+00,200,realestatesvcs,Paris France,4.88566E+01,2.3522E+00,106,1,22
BusinessSearchResults--Paris France--shopping.json,3.156110089736348E+04,1.2790758694653016E+02,4.5E+00,3E+00,200,shopping,Paris France,4.88566E+01,2.3522E+00,572,43,9200
BusinessSearchResults--Paris France--artsandcrafts.json,2.717658106807912E+04,1.62155570275211E+02,5E+00,2.5E+00,200,artsandcrafts,Paris France,4.88566E+01,2.3522E+00,87,5,436
BusinessSearchResults--Paris France--media.json,1.7149028949773616E+04,3.933559038451468E+02,5E+00,2.5E+00,200,media,Paris France,4.88566E+01,2.3522E+00,324,11,761
BusinessSearchResults--Paris France--fashion.json,1.259610651237058E+04,1.2790758694653016E+02,5E+00,2.5E+00,200,fashion,Paris France,4.88566E+01,2.3522E+00,572,20,3300
BusinessSearchResults--Paris France--flowers.json,2.09173512725487E+04,3.00373479400381E+02,5E+00,2.5E+00,200,flowers,Paris France,4.88566E+01,2.3522E+00,44,6,669
